"filename", "language", "TypeScript", "Markdown", "TypeScript React", "SCSS", "comment", "blank", "total"
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\TaggedTabsPanel.scss", "SCSS", 0, 0, 0, 36, 0, 5, 41
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\TaggedTabsPanel.tsx", "TypeScript React", 0, 0, 50, 0, 0, 8, 58
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\WarehouseView.scss", "SCSS", 0, 0, 0, 84, 0, 13, 97
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\WarehouseView.tsx", "TypeScript React", 0, 0, 78, 0, 0, 9, 87
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\WorldView.scss", "SCSS", 0, 0, 0, 7, 0, 0, 7
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\WorldView.tsx", "TypeScript React", 0, 0, 38, 0, 5, 10, 53
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\common\SimpleInfoCardView.scss", "SCSS", 0, 0, 0, 38, 2, 9, 49
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\common\SimpleInfoCardView.tsx", "TypeScript React", 0, 0, 21, 0, 0, 2, 23
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\facilityconfig\DrillWellFacilityConfigView.tsx", "TypeScript React", 0, 0, 28, 0, 0, 3, 31
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\facilityconfig\FacilityConfigView.tsx", "TypeScript React", 0, 0, 12, 0, 0, 4, 16
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\facilityconfig\TrainditionalMineFacilityConfigView.tsx", "TypeScript React", 0, 0, 28, 0, 0, 4, 32
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\graphics\BackgroundGraphics.ts", "TypeScript", 23, 0, 0, 0, 0, 3, 26
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\graphics\OrbGraphicData.ts", "TypeScript", 16, 0, 0, 0, 0, 1, 17
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\graphics\PixiAdapter.ts", "TypeScript", 160, 0, 0, 0, 0, 32, 192
"Total", "-", 2742, 81, 1532, 942, 254, 1049, 6600
